"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 06 11:43:08 PST 2023","Wed Dec 06 11:43:19 PST 2023","10563","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:45:00 PST 2023","Wed Dec 06 11:45:22 PST 2023","22404","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:43:37 PST 2023","Wed Dec 06 11:43:47 PST 2023","9862","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:43:57 PST 2023","Wed Dec 06 11:44:19 PST 2023","21918","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:45:49 PST 2023","Wed Dec 06 11:46:05 PST 2023","16432","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:46:05 PST 2023","Wed Dec 06 11:46:21 PST 2023","16128","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:44:40 PST 2023","Wed Dec 06 11:45:00 PST 2023","20148","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:47:35 PST 2023","Wed Dec 06 11:47:46 PST 2023","10594","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:45:22 PST 2023","Wed Dec 06 11:45:36 PST 2023","13231","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:44:19 PST 2023","Wed Dec 06 11:44:40 PST 2023","20972","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:47:46 PST 2023","Wed Dec 06 11:47:57 PST 2023","10782","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:43:47 PST 2023","Wed Dec 06 11:43:57 PST 2023","10268","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:43:32 PST 2023","Wed Dec 06 11:43:37 PST 2023","5305","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:46:56 PST 2023","Wed Dec 06 11:47:35 PST 2023","38675","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:43:19 PST 2023","Wed Dec 06 11:43:27 PST 2023","8344","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:45:36 PST 2023","Wed Dec 06 11:45:49 PST 2023","13015","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Dec 06 11:46:21 PST 2023","Wed Dec 06 11:46:56 PST 2023","35171","Suite","TestChrome","runner.TestRunner","runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
